date,open,close,high,low,volume,money
2012-04-11,1.01,1.03,1.05,1.01,272954414.0,281480512.0
2012-04-12,1.0,1.01,1.02,1.0,160949064.0,162046464.0
2012-04-13,1.01,1.03,1.03,1.0,130535841.0,132960264.0
2012-04-16,1.02,1.01,1.03,1.01,78534842.0,80011656.0
2012-04-17,1.01,0.98,1.02,0.98,86247960.0,85410864.0
2012-04-18,0.98,0.99,1.0,0.98,63048543.0,62331896.0
2012-04-19,0.99,0.99,1.0,0.98,46533972.0,46124276.0
2012-04-20,0.99,0.99,0.99,0.98,41865412.0,41416320.0
2012-04-23,0.99,0.96,0.99,0.95,68972779.0,66878504.0
2012-04-24,0.95,0.94,0.96,0.92,53229701.0,49957200.0
2012-04-25,0.94,0.94,0.94,0.93,33238587.0,31150446.0
2012-04-26,0.94,0.94,0.95,0.94,30638434.0,29013252.0
2012-04-27,0.94,0.94,0.95,0.93,20793002.0,19613356.0
2012-05-02,0.94,0.94,0.95,0.92,65233901.0,61061256.0
2012-05-03,0.94,0.94,0.94,0.93,27995560.0,26189636.0
2012-05-04,0.93,0.94,0.94,0.93,28986208.0,27158432.0
2012-05-07,0.94,0.95,0.95,0.93,31907951.0,30050680.0
2012-05-08,0.95,0.95,0.96,0.94,32468498.0,30867064.0
2012-05-09,0.95,0.94,0.95,0.94,30552014.0,28741112.0
2012-05-10,0.94,0.94,0.94,0.93,18027198.0,16882744.0
2012-05-11,0.94,0.94,0.94,0.93,12071836.0,11311050.0
2012-05-14,0.94,0.93,0.94,0.93,17542055.0,16382687.0
2012-05-15,0.93,0.91,0.93,0.91,36011081.0,33007672.0
2012-05-16,0.91,0.9,0.91,0.9,24587269.0,22217658.0
2012-05-17,0.9,0.9,0.91,0.89,19312750.0,17388304.0
2012-05-18,0.9,0.9,0.9,0.89,19266954.0,17260292.0
2012-05-21,0.89,0.88,0.9,0.88,22830628.0,20220372.0
2012-05-22,0.88,0.89,0.89,0.88,12521681.0,11121700.0
2012-05-23,0.89,0.9,0.9,0.89,17394862.0,15567375.0
2012-05-24,0.9,0.9,0.92,0.89,31946460.0,29021424.0
2012-05-25,0.9,0.88,0.9,0.88,19187340.0,17092432.0
2012-05-28,0.88,0.89,0.89,0.87,13747691.0,12142525.0
2012-05-29,0.89,0.89,0.89,0.89,0.0,0.0
2012-05-30,0.9,0.9,0.91,0.9,27309930.0,24715832.0
2012-05-31,0.9,0.9,0.91,0.9,15874256.0,14355942.0
2012-06-01,0.9,0.9,0.91,0.89,15735522.0,14125859.0
2012-06-04,0.88,0.88,0.89,0.88,15084037.0,13320400.0
2012-06-05,0.88,0.88,0.89,0.88,7504538.0,6611011.0
2012-06-06,0.88,0.88,0.89,0.87,8233292.0,7243588.0
2012-06-07,0.88,0.87,0.89,0.87,9900225.0,8712387.0
2012-06-08,0.89,0.88,0.89,0.87,9343639.0,8219975.0
2012-06-11,0.88,0.89,0.89,0.88,10648224.0,9422734.0
2012-06-12,0.89,0.88,0.89,0.88,10236754.0,9057242.0
2012-06-13,0.88,0.89,0.89,0.88,10496898.0,9315816.0
2012-06-14,0.89,0.89,0.9,0.89,13795506.0,12343126.0
2012-06-15,0.9,0.89,0.9,0.88,10128013.0,9004840.0
2012-06-18,0.89,0.89,0.89,0.89,0.0,0.0
2012-06-19,0.9,0.9,0.91,0.89,34118456.0,30884748.0
2012-06-20,0.9,0.9,0.91,0.89,14757333.0,13262645.0
2012-06-21,0.9,0.9,0.91,0.9,17684172.0,15944883.0
2012-06-25,0.91,0.88,0.91,0.88,20356038.0,18236390.0
2012-06-26,0.87,0.89,0.9,0.87,6924080.0,6149858.0
2012-06-27,0.89,0.85,0.89,0.85,19351024.0,16799990.0
2012-06-28,0.86,0.82,0.86,0.82,21332562.0,17849688.0
2012-06-29,0.82,0.83,0.84,0.8,13624586.0,11162065.0
2012-07-02,0.84,0.82,0.84,0.82,13363990.0,11006056.0
2012-07-03,0.82,0.84,0.85,0.82,19956849.0,16618873.0
2012-07-04,0.84,0.87,0.88,0.84,33970979.0,29150748.0
2012-07-05,0.86,0.87,0.88,0.85,21393987.0,18494784.0
2012-07-06,0.87,0.87,0.88,0.85,21858349.0,18979304.0
2012-07-09,0.86,0.85,0.86,0.84,13738543.0,11719365.0
2012-07-10,0.85,0.85,0.86,0.84,14767092.0,12625117.0
2012-07-11,0.85,0.83,0.85,0.82,13080335.0,10937004.0
2012-07-12,0.83,0.8,0.83,0.8,25656957.0,20664330.0
2012-07-13,0.8,0.8,0.81,0.79,11670913.0,9384544.0
2012-07-16,0.8,0.72,0.8,0.72,51253251.0,37440752.0
2012-07-17,0.71,0.67,0.71,0.66,49230393.0,33336418.0
2012-07-18,0.67,0.68,0.68,0.66,20016347.0,13432598.0
2012-07-19,0.68,0.68,0.69,0.68,16789717.0,11478428.0
2012-07-20,0.68,0.67,0.68,0.67,12887273.0,8720093.0
2012-07-23,0.67,0.67,0.67,0.66,8887292.0,5937847.0
2012-07-24,0.67,0.67,0.68,0.66,9084398.0,6078568.0
2012-07-25,0.67,0.67,0.69,0.66,12453359.0,8435701.0
2012-07-26,0.68,0.67,0.68,0.66,9586513.0,6410431.0
2012-07-27,0.67,0.67,0.68,0.66,5353229.0,3580941.0
2012-07-30,0.67,0.62,0.67,0.62,25435850.0,16216395.0
2012-07-31,0.62,0.6,0.62,0.59,27439599.0,16504857.0
2012-08-01,0.6,0.6,0.61,0.59,21358637.0,12818321.0
2012-08-02,0.6,0.6,0.61,0.59,18210287.0,10886515.0
2012-08-03,0.6,0.62,0.63,0.59,42100779.0,25564690.0
2012-08-06,0.62,0.63,0.63,0.61,32257364.0,19913372.0
2012-08-07,0.62,0.64,0.66,0.62,39150255.0,24825228.0
2012-08-08,0.63,0.63,0.64,0.63,23072422.0,14594641.0
2012-08-09,0.63,0.64,0.64,0.62,27068359.0,17123436.0
2012-08-10,0.64,0.67,0.68,0.64,71198560.0,46808188.0
2012-08-13,0.67,0.66,0.7,0.66,84031194.0,57089076.0
2012-08-14,0.66,0.65,0.66,0.63,38144935.0,24622174.0
2012-08-15,0.65,0.66,0.67,0.64,28509086.0,18779400.0
2012-08-16,0.66,0.65,0.66,0.65,12670707.0,8323927.0
2012-08-17,0.65,0.65,0.66,0.65,12975271.0,8476276.0
2012-08-20,0.65,0.65,0.66,0.64,10069921.0,6539928.0
2012-08-21,0.66,0.66,0.67,0.65,24446770.0,16114243.0
2012-08-22,0.66,0.65,0.66,0.64,15409419.0,10041568.0
2012-08-23,0.65,0.66,0.66,0.64,20503566.0,13236368.0
2012-08-24,0.65,0.64,0.65,0.63,16962537.0,10851327.0
2012-08-27,0.64,0.61,0.64,0.61,15811573.0,9752931.0
2012-08-28,0.61,0.62,0.62,0.61,8095964.0,5006595.0
2012-08-29,0.62,0.62,0.63,0.61,10616586.0,6655266.0
2012-08-30,0.62,0.62,0.63,0.6,12910013.0,7952388.0
2012-08-31,0.62,0.62,0.63,0.61,9284808.0,5746086.0
2012-09-03,0.62,0.62,0.62,0.61,8896809.0,5516073.0
2012-09-04,0.62,0.6,0.63,0.6,18808669.0,11514765.0
2012-09-05,0.61,0.61,0.61,0.6,11280077.0,6837861.0
2012-09-06,0.61,0.62,0.62,0.61,14295446.0,8796887.0
2012-09-07,0.62,0.65,0.65,0.62,48934373.0,31241528.0
2012-09-10,0.64,0.66,0.67,0.64,50720064.0,33146240.0
2012-09-11,0.66,0.66,0.66,0.65,26235107.0,17232994.0
2012-09-12,0.67,0.66,0.67,0.65,19281701.0,12695115.0
2012-09-13,0.66,0.66,0.7,0.66,66815482.0,45123440.0
2012-09-14,0.66,0.65,0.66,0.64,36339891.0,23691112.0
2012-09-17,0.65,0.62,0.65,0.62,26152508.0,16522805.0
2012-09-18,0.63,0.62,0.63,0.62,14557810.0,9057997.0
2012-09-19,0.62,0.62,0.63,0.61,8823209.0,5475971.0
2012-09-20,0.62,0.6,0.62,0.6,15090479.0,9227950.0
2012-09-21,0.6,0.61,0.62,0.6,12270576.0,7449855.0
2012-09-24,0.61,0.62,0.63,0.6,11930091.0,7304097.0
2012-09-25,0.62,0.61,0.62,0.61,6364214.0,3914631.0
2012-09-26,0.61,0.61,0.61,0.59,12029332.0,7215489.0
2012-09-27,0.6,0.62,0.63,0.6,18963671.0,11663357.0
2012-09-28,0.61,0.62,0.63,0.61,19206111.0,11900682.0
2012-10-08,0.62,0.61,0.62,0.61,12245887.0,7514805.0
2012-10-09,0.61,0.63,0.63,0.61,36436094.0,22714462.0
2012-10-10,0.62,0.63,0.64,0.62,31190682.0,19602656.0
2012-10-11,0.63,0.61,0.63,0.61,31207917.0,19320206.0
2012-10-12,0.61,0.61,0.62,0.6,29738023.0,18034176.0
2012-10-15,0.61,0.6,0.61,0.6,13243236.0,7956170.0
2012-10-16,0.6,0.61,0.61,0.6,23130068.0,14006735.0
2012-10-17,0.61,0.62,0.62,0.6,29181820.0,17748862.0
