date,open,close,high,low,volume,money
2018-11-09,23.28,27.93,27.93,23.28,113680.0,3163198.0
2018-11-12,30.72,30.72,30.72,30.72,56694.0,1741732.0
2018-11-13,33.79,33.79,33.79,33.79,146703.0,4957752.0
2018-11-14,37.18,37.18,37.18,37.18,138091.0,5133565.92
2018-11-15,40.89,40.89,40.89,37.67,22868960.0,909625725.56
2018-11-16,39.35,39.52,40.92,39.35,14087948.0,563791543.23
2018-11-19,40.18,40.65,41.82,40.04,10830705.0,441578600.24
2018-11-20,40.38,41.1,41.46,39.86,10269898.0,418437744.06
2018-11-21,40.38,39.69,40.68,38.16,10767509.0,423204348.52
2018-11-22,39.56,39.01,40.55,38.9,6363667.0,251667720.11
2018-11-23,39.01,39.33,39.96,38.67,7969430.0,314384110.13
2018-11-26,39.01,41.4,42.4,39.01,11842806.0,481991924.39
2018-11-27,43.12,40.82,44.04,40.48,12940711.0,550552146.48
2018-11-28,42.22,44.91,44.91,41.78,11158649.0,481539780.67
2018-11-29,44.14,43.72,45.09,43.46,9161506.0,405024882.76
2018-11-30,43.46,43.72,44.11,41.92,7968071.0,343838655.01
2018-12-03,44.48,44.28,46.33,43.37,9063173.0,405028742.41
2018-12-04,43.94,43.85,44.93,43.3,5755681.0,253910486.15
2018-12-05,42.77,44.89,44.91,42.57,6572839.0,286843959.44
2018-12-06,44.35,43.73,45.36,43.31,5931722.0,263422134.06
2018-12-07,44.07,43.73,44.22,43.12,3275098.0,143048884.7
2018-12-10,43.51,43.94,44.81,43.51,3839003.0,169423963.25
2018-12-11,44.05,42.52,44.59,42.32,6278067.0,271408780.99
2018-12-12,42.74,41.77,42.96,41.26,4918391.0,207379896.86
2018-12-13,41.6,41.58,42.09,40.65,4341792.0,180018358.2
2018-12-14,41.32,39.76,41.9,39.76,4027078.0,164268240.27
2018-12-17,39.35,40.07,40.17,39.05,2946632.0,116686894.0
2018-12-18,39.55,39.39,40.19,39.11,2215745.0,87694409.0
2018-12-19,39.53,37.11,39.83,36.64,5065950.0,193083523.58
2018-12-20,36.96,37.59,37.74,36.82,2931564.0,109373728.72
2018-12-21,37.34,38.4,38.58,37.34,3050458.0,115490420.28
2018-12-24,38.15,39.71,40.15,38.04,3121305.0,122797802.76
2018-12-25,39.34,40.02,40.24,38.61,2785775.0,109887356.85
2018-12-26,40.18,39.59,40.68,39.57,3123047.0,125612491.2
2018-12-27,40.36,39.95,40.88,39.87,3553241.0,143538400.58
2018-12-28,39.97,40.97,41.09,39.78,2729587.0,110524416.88
2019-01-02,41.23,43.01,43.9,41.01,3152309.0,134828113.82
2019-01-03,42.77,43.32,44.1,42.7,3196898.0,139016933.81
2019-01-04,43.12,46.32,46.42,43.12,3845277.0,172998050.88
2019-01-07,46.2,49.26,50.95,45.86,4260935.0,204397318.26
2019-01-08,48.77,48.93,49.88,47.9,2775898.0,135285332.15
2019-01-09,49.26,47.58,49.77,47.39,2790615.0,135299305.58
2019-01-10,48.46,48.63,50.06,47.94,3119081.0,152850575.0
2019-01-11,47.91,47.73,48.41,46.02,4547109.0,213962951.52
2019-01-14,47.57,47.91,49.23,47.1,2044240.0,98424527.24
2019-01-15,47.56,49.32,49.38,46.89,2550293.0,122988574.36
2019-01-16,48.94,49.72,53.38,48.94,3425443.0,174135914.07
2019-01-17,50.48,49.93,50.97,49.02,2160431.0,107818448.48
2019-01-18,48.59,48.66,49.93,46.88,2966577.0,143161578.8
2019-01-21,48.62,48.79,49.8,48.62,1374832.0,67394951.5
2019-01-22,49.23,52.56,52.61,48.63,3573961.0,181506403.04
2019-01-23,52.56,52.52,53.26,50.64,2807193.0,145645554.6
2019-01-24,52.05,52.49,52.62,50.53,2676534.0,138031748.56
2019-01-25,52.42,55.47,56.89,52.02,3407777.0,186320001.3
2019-01-28,55.21,57.45,58.15,54.2,2854127.0,160782696.54
2019-01-29,57.01,56.75,58.09,54.76,2580248.0,145894941.98
2019-01-30,56.47,51.09,57.65,51.08,4816207.0,258002467.79
2019-01-31,50.97,50.9,52.33,50.4,2244686.0,115492171.75
2019-02-01,51.23,54.09,54.75,49.97,2556138.0,134888564.9
2019-02-11,54.2,56.19,58.1,53.9,2636679.0,147117336.9
2019-02-12,56.77,59.2,59.27,56.12,3186518.0,183929329.27
2019-02-13,60.57,58.65,60.57,57.49,2731197.0,159553259.8
2019-02-14,58.19,58.8,58.89,57.18,2571141.0,149199351.05
2019-02-15,58.79,58.17,60.23,58.17,2448463.0,144533454.62
2019-02-18,58.03,59.2,59.8,57.45,2123439.0,124552930.21
2019-02-19,59.89,60.26,62.85,59.27,3221239.0,196151690.6
2019-02-20,59.88,60.05,60.26,58.17,2316299.0,137070196.12
2019-02-21,59.54,62.58,62.69,59.36,2912682.0,178371519.97
2019-02-22,61.99,64.11,64.84,61.25,2065456.0,130039749.8
2019-02-25,64.67,70.52,70.52,64.01,2694533.0,183183670.41
2019-02-26,63.47,63.47,64.33,63.47,2647088.0,168069744.0
2019-02-27,60.35,57.12,61.55,57.12,8796103.0,510624432.46
2019-02-28,55.43,58.06,59.3,54.76,6210964.0,353938601.94
2019-03-01,57.49,57.08,58.1,56.16,3364926.0,192862616.46
2019-03-04,57.33,59.15,59.93,56.46,4491853.0,261477600.26
2019-03-05,58.55,58.96,60.02,57.25,3180609.0,185572999.43
2019-03-06,59.2,58.46,59.2,57.49,3434981.0,200433773.4
2019-03-07,57.83,59.54,60.07,57.83,4134534.0,244688622.78
2019-03-08,58.41,55.46,59.08,55.46,3652222.0,209134142.85
2019-03-11,54.44,58.81,58.97,54.44,3350224.0,191708123.59
2019-03-12,58.79,58.17,59.44,58.17,2922782.0,172123236.41
2019-03-13,58.17,56.54,59.48,56.43,2007503.0,116574277.82
2019-03-14,56.3,57.05,59.1,56.3,2584216.0,149121708.45
2019-03-15,57.16,58.06,58.85,57.04,1746882.0,101393479.04
2019-03-18,58.57,58.72,58.82,56.73,1556457.0,89766263.0
2019-03-19,58.79,61.4,61.59,58.06,2693782.0,162416952.83
2019-03-20,61.57,60.91,62.36,60.22,2045593.0,124802267.97
2019-03-21,60.91,59.93,61.25,59.2,1353820.0,81359062.08
2019-03-22,59.67,57.9,59.83,57.66,1517125.0,88552871.76
2019-03-25,56.92,56.73,58.0,56.52,1241007.0,71110808.54
2019-03-26,57.0,54.81,57.73,54.46,2049600.0,113868895.53
2019-03-27,54.85,55.16,55.58,54.48,858828.0,47277263.41
2019-03-28,55.16,55.78,57.38,54.44,1797232.0,100992568.28
2019-03-29,55.78,58.02,58.35,55.44,1764987.0,101038357.35
2019-04-01,58.33,60.17,60.74,58.33,1652621.0,98662243.09
2019-04-02,60.52,63.22,64.2,59.88,3473194.0,218216106.25
2019-04-03,62.28,62.96,63.82,60.84,2026396.0,125347764.02
2019-04-04,62.85,60.84,62.85,60.81,1247334.0,76643565.74
2019-04-08,60.56,58.55,61.08,57.82,1292991.0,76286365.01
2019-04-09,58.51,57.93,58.79,56.84,676799.0,39185624.48
2019-04-10,57.94,59.2,59.71,57.72,849926.0,49927377.66
2019-04-11,59.78,58.18,59.78,57.27,758710.0,44288392.58
2019-04-12,58.23,59.88,61.87,57.83,1582490.0,95469906.6
2019-04-15,60.16,59.54,61.29,58.87,1072889.0,64251261.76
2019-04-16,59.2,60.22,60.34,58.51,750875.0,44508021.5
2019-04-17,59.8,61.94,63.27,59.78,1568468.0,96665373.34
2019-04-18,61.95,62.0,62.62,60.59,757044.0,46441664.21
2019-04-19,62.28,63.07,63.78,61.63,1392477.0,87534813.8
2019-04-22,63.48,61.45,63.63,61.42,880167.0,55166706.48
2019-04-23,61.52,62.62,63.82,61.26,1190927.0,74874354.75
2019-04-24,62.62,62.82,63.05,61.21,772676.0,47906776.0
2019-04-25,62.62,62.43,63.99,61.69,952078.0,60101415.7
2019-04-26,62.45,56.79,62.61,56.29,2201332.0,128534332.59
2019-04-29,57.24,55.43,57.49,54.37,1372555.0,76569257.15
2019-04-30,55.36,54.99,55.61,54.42,866134.0,47490187.97
2019-05-06,54.85,49.63,54.85,49.63,1494348.0,76599075.73
2019-05-07,49.96,49.77,50.75,48.64,940619.0,46816970.29
2019-05-08,48.93,48.21,49.82,46.93,1260891.0,61235027.44
2019-05-09,48.22,48.42,49.25,47.81,851034.0,41367230.56
2019-05-10,48.83,50.29,50.89,48.83,2003865.0,100067161.38
2019-05-13,50.16,48.32,50.16,47.74,1431934.0,69629521.8
2019-05-14,48.11,47.76,48.58,47.63,1076198.0,51608512.0
2019-05-15,47.72,49.86,50.04,47.72,1999879.0,98120897.0
2019-05-16,50.06,48.94,50.1,48.82,1297486.0,63909498.0
2019-05-17,49.24,44.04,49.24,44.04,3278315.0,150152494.13
2019-05-20,43.03,43.5,44.03,40.66,2500966.0,106459468.99
2019-05-21,43.44,44.6,44.95,43.19,1310272.0,58074058.84
2019-05-22,45.05,44.36,45.37,43.85,1272810.0,57050077.5
2019-05-23,44.89,43.39,45.04,43.12,1047881.0,46049569.75
2019-05-24,43.4,43.5,44.15,43.37,669252.0,29261285.99
2019-05-27,45.36,44.46,45.39,43.67,1378798.0,61442689.28
2019-05-28,44.66,43.96,44.66,43.77,715624.0,31610997.86
2019-05-29,44.19,44.09,44.63,43.78,716243.0,31626158.65
2019-05-30,43.97,41.96,43.97,40.3,2876039.0,120099535.4
2019-05-31,41.82,43.16,44.19,41.69,3418596.0,147947286.06
2019-06-03,43.53,41.63,43.6,41.54,1757605.0,74325826.17
2019-06-04,41.93,40.64,42.11,40.58,1280801.0,52922322.56
2019-06-05,41.19,40.83,41.45,40.45,1083758.0,44420931.0
2019-06-06,40.83,39.05,41.03,38.96,1544322.0,61085010.06
2019-06-10,38.73,39.06,40.07,38.73,1775619.0,69958946.37
2019-06-11,39.41,40.42,40.76,39.27,1967511.0,79124220.15
2019-06-12,40.51,39.47,40.59,39.4,1501777.0,60163008.89
2019-06-13,39.68,39.96,40.07,39.16,1455135.0,57861850.93
2019-06-14,40.06,38.34,40.16,38.13,2058472.0,80131305.39
2019-06-17,38.52,37.63,38.77,37.2,1877560.0,71075265.46
2019-06-18,37.47,38.21,38.85,37.47,1886621.0,72024877.74
2019-06-19,39.55,40.0,40.41,38.97,3015916.0,119602133.46
2019-06-20,39.74,40.41,40.58,39.29,2462891.0,98394584.79
2019-06-21,40.61,42.46,42.76,40.41,3206151.0,133898473.88
2019-06-24,42.64,41.71,42.85,41.46,1830191.0,76481373.92
2019-06-25,42.51,42.83,44.49,42.4,3282901.0,142183478.55
2019-06-26,42.92,43.51,43.98,42.2,1994993.0,85949266.44
2019-06-27,43.49,43.79,44.42,43.33,1662047.0,72888938.22
2019-06-28,44.36,43.59,44.36,43.38,1991655.0,87277607.7
2019-07-01,44.67,45.22,45.9,43.85,2327638.0,104684319.64
2019-07-02,44.74,45.8,46.48,44.73,1858385.0,84874900.99
2019-07-03,46.08,45.36,46.08,45.09,1620959.0,73636466.64
2019-07-04,45.36,45.02,45.55,44.31,1712254.0,76782755.42
2019-07-05,45.39,47.63,47.97,44.89,3004703.0,140317532.5
2019-07-08,47.11,44.02,47.25,43.67,3008582.0,135735820.93
2019-07-09,43.85,45.26,45.86,43.61,1910831.0,85850392.46
2019-07-10,45.42,45.74,46.41,45.12,1652332.0,75465004.0
2019-07-11,45.7,44.76,46.63,44.37,1600016.0,72572889.74
2019-07-12,45.05,45.57,46.27,44.58,1933757.0,88094224.65
2019-07-15,44.02,44.98,45.9,43.99,2506974.0,112452311.97
2019-07-16,45.14,43.78,45.33,43.62,2421224.0,106791831.12
2019-07-17,43.6,43.62,44.08,43.02,1637382.0,71393933.36
2019-07-18,43.25,41.58,43.4,41.4,2027154.0,85830818.1
2019-07-19,42.0,42.42,42.47,41.71,1815762.0,76592492.5
2019-07-22,42.06,39.5,42.06,39.28,2941588.0,117076444.0
2019-07-23,39.28,39.47,39.78,38.96,1657513.0,65338652.84
2019-07-24,39.61,40.61,40.85,39.61,2015174.0,81423893.0
2019-07-25,40.92,42.3,42.59,40.62,2216572.0,92929913.45
2019-07-26,42.18,42.4,42.8,41.68,1528373.0,64732303.18
2019-07-29,42.57,43.74,44.15,42.47,2168238.0,93634875.98
2019-07-30,43.66,45.34,45.88,43.21,3223601.0,144824784.39
2019-07-31,45.39,47.67,48.0,45.34,3675502.0,172526833.62
2019-08-01,47.29,47.23,47.97,46.25,3116063.0,146658823.0
2019-08-02,46.46,48.56,48.72,46.43,4737315.0,227004544.54
2019-08-05,48.15,46.12,48.15,45.95,3880102.0,181450739.43
2019-08-06,44.4,48.94,49.79,44.4,3775945.0,178410651.18
2019-08-07,48.42,48.95,50.54,48.24,2896371.0,142860001.5
2019-08-08,49.44,47.94,49.44,47.5,1907383.0,92065151.11
2019-08-09,48.48,47.59,50.2,47.11,1938648.0,94100496.75
2019-08-12,47.8,49.86,50.1,46.94,1988718.0,97152629.32
2019-08-13,49.52,49.24,49.52,48.68,1417444.0,69448445.12
2019-08-14,49.86,48.83,50.76,48.72,1897606.0,94531924.52
2019-08-15,47.18,49.69,49.93,47.18,2135530.0,104562783.0
2019-08-16,49.69,48.92,50.14,48.78,1584259.0,78064377.5
2019-08-19,49.51,53.58,53.82,48.95,3680233.0,189034346.01
2019-08-20,52.96,52.46,53.87,51.58,2395443.0,126001296.68
2019-08-21,52.62,55.71,56.54,52.27,3711371.0,203985962.38
2019-08-22,56.4,56.09,57.5,54.35,2800487.0,156939201.59
2019-08-23,55.53,52.68,55.65,52.63,2699846.0,146029557.3
2019-08-26,51.65,53.3,54.67,51.65,3006640.0,161186460.84
2019-08-27,53.25,53.49,54.83,52.73,2135917.0,114585522.78
2019-08-28,53.3,51.89,53.61,51.77,2105094.0,110348752.38
2019-08-29,52.25,50.17,52.27,49.88,2819263.0,143404594.63
2019-08-30,50.46,49.26,51.14,48.72,2935583.0,145902413.36
2019-09-02,48.95,51.31,51.66,48.95,2904356.0,146728132.07
2019-09-03,51.1,52.55,52.78,49.75,2271842.0,116752981.02
2019-09-04,52.11,51.98,52.82,51.24,1482702.0,76895702.61
2019-09-05,52.27,51.69,52.96,51.46,1910317.0,99637355.04
2019-09-06,51.65,50.01,51.99,49.45,2299182.0,115744449.55
2019-09-09,49.87,51.73,51.75,49.87,2317513.0,118099356.34
2019-09-10,51.58,51.62,51.68,50.25,1674271.0,85372048.0
2019-09-11,51.35,52.45,53.82,51.08,2473452.0,130313321.61
2019-09-12,52.46,51.89,52.81,51.24,1297588.0,67408214.46
2019-09-16,51.92,51.34,52.21,51.03,1113709.0,57323034.76
2019-09-17,51.38,49.66,51.38,48.97,1636062.0,81822393.1
2019-09-18,49.62,49.96,49.96,49.31,723577.0,35948683.23
2019-09-19,50.19,50.05,50.46,49.37,1173251.0,58743548.48
2019-09-20,50.26,52.75,52.92,50.21,2984886.0,154754758.87
2019-09-23,52.51,53.3,53.81,52.03,1826867.0,96850319.02
2019-09-24,53.07,53.87,55.58,53.06,2499338.0,135935854.28
2019-09-25,53.75,52.75,54.84,52.65,1698828.0,91430274.62
2019-09-26,53.88,53.46,56.27,53.13,3626092.0,198598769.02
2019-09-27,53.3,56.8,57.12,52.55,3659102.0,204834832.7
2019-09-30,56.33,56.42,57.63,55.75,1922626.0,109138929.78
2019-10-08,56.36,55.37,57.95,54.75,2066614.0,115660369.43
2019-10-09,56.04,56.62,57.17,53.92,1862773.0,103976769.0
2019-10-10,57.09,55.92,57.09,54.78,2012816.0,112657916.8
2019-10-11,55.71,54.02,55.71,53.36,2275991.0,123371366.0
2019-10-14,54.02,53.47,54.32,52.99,1949009.0,104478566.92
2019-10-15,53.2,53.24,53.51,50.44,3918082.0,203648333.32
2019-10-16,52.87,50.86,53.22,50.53,3080305.0,159197985.38
2019-10-17,50.9,51.03,51.88,50.82,1250027.0,63982533.0
2019-10-18,50.9,49.46,51.16,49.46,1769178.0,88631457.45
2019-10-21,49.57,48.69,50.79,48.33,1841255.0,91364046.0
2019-10-22,47.99,48.8,49.47,47.99,1083043.0,52786142.59
2019-10-23,48.8,47.17,49.01,47.11,1586044.0,75825417.73
2019-10-24,47.64,47.8,47.9,46.91,884294.0,42104120.25
2019-10-25,47.7,47.57,48.05,46.9,1280911.0,60791627.0
2019-10-28,47.56,48.07,48.21,46.89,1476793.0,70330895.77
2019-10-29,47.97,48.07,48.49,47.35,1259021.0,60357793.84
2019-10-30,47.53,49.18,49.52,47.19,1281434.0,62374396.6
2019-10-31,49.18,48.45,49.41,48.01,870322.0,42331873.0
2019-11-01,48.06,48.53,48.83,47.63,901087.0,43580918.0
2019-11-04,48.49,46.74,48.49,46.56,2216369.0,105398793.0
2019-11-05,46.76,45.29,47.33,44.4,3160146.0,143164300.24
2019-11-06,44.89,45.05,46.01,44.75,1501565.0,68305453.0
2019-11-07,44.98,45.44,46.01,44.93,1035718.0,47181469.69
2019-11-08,45.74,45.39,45.98,44.95,1106969.0,50304749.98
2019-11-11,45.05,43.71,45.39,43.33,1682777.0,74095371.0
2019-11-12,42.64,44.7,44.77,42.64,1675941.0,73847510.16
2019-11-13,44.6,46.48,46.89,44.33,2136752.0,98286559.22
2019-11-14,46.58,46.58,47.58,45.91,1487511.0,69266960.2
2019-11-15,46.25,45.02,46.65,44.89,1730082.0,78810909.7
2019-11-18,45.39,44.64,46.39,44.12,1734292.0,77858870.72
2019-11-19,45.05,45.01,45.27,44.48,1552101.0,69737410.62
2019-11-20,44.99,45.3,45.72,44.37,1303883.0,58825761.0
2019-11-21,45.05,44.36,45.56,43.98,1492894.0,66549664.0
2019-11-22,44.71,43.47,45.12,43.34,1606009.0,70949559.0
2019-11-25,43.5,41.99,43.73,41.44,1802790.0,76259766.48
2019-11-26,41.82,41.38,42.34,41.27,1184079.0,49324679.0
2019-11-27,41.89,41.61,41.95,41.13,1055761.0,44014946.8
2019-11-28,41.33,41.06,41.94,40.77,1256212.0,51893937.63
2019-11-29,41.14,41.97,42.63,41.14,1490943.0,62557577.88
2019-12-02,42.28,41.37,42.28,41.22,1343430.0,55839022.0
2019-12-03,41.37,42.3,42.37,41.03,1024892.0,42786864.68
2019-12-04,41.9,41.63,42.4,41.34,894713.0,37460539.88
2019-12-05,41.64,42.97,43.19,41.64,1811409.0,77470742.78
2019-12-06,42.8,44.36,44.36,42.53,1596405.0,69350145.18
2019-12-09,45.26,44.45,45.39,44.05,1388048.0,61997716.61
2019-12-10,44.53,45.04,45.63,44.15,1795259.0,80926938.11
2019-12-11,45.05,44.71,45.39,44.02,1689325.0,75334894.48
2019-12-12,44.6,43.75,45.08,43.68,1111976.0,49138524.64
2019-12-13,44.36,44.5,44.68,44.06,1785418.0,79387701.76
2019-12-16,44.43,46.08,46.32,44.43,2631331.0,120076376.6
2019-12-17,46.7,45.77,46.75,45.53,2666246.0,122375232.74
2019-12-18,45.62,45.74,46.43,45.47,1991155.0,91144227.03
2019-12-19,45.51,46.09,46.25,45.51,1644989.0,75450139.55
