,date,open,close,high,low,volume,money
0,2021-01-04,3642.15,3671.76,3680.89,3623.79,38025279000.0,522590350913.0
1,2021-01-05,3660.44,3698.76,3698.76,3652.6,40748556700.0,567263691373.0
2,2021-01-06,3701.11,3722.08,3728.29,3682.45,36984296700.0,521156485827.0
3,2021-01-07,3724.21,3748.67,3748.67,3696.65,40499312100.0,545143158882.0
4,2021-01-08,3750.24,3742.23,3761.13,3715.77,34517665300.0,501669595270.0
5,2021-01-11,3743.5,3701.72,3771.21,3686.51,36217297900.0,526459536728.0
6,2021-01-12,3687.56,3782.36,3782.36,3687.01,32312833700.0,485240756006.0
7,2021-01-13,3787.55,3772.16,3797.06,3747.97,38777339100.0,554266590966.0
8,2021-01-14,3757.76,3737.76,3772.56,3731.14,34732230000.0,510707992602.0
9,2021-01-15,3738.17,3738.25,3762.29,3704.07,32435894300.0,479760709742.0
10,2021-01-18,3726.1,3769.59,3782.75,3715.05,30137834000.0,451208207941.0
11,2021-01-19,3769.72,3738.27,3776.85,3724.26,32318894700.0,467008064966.0
12,2021-01-20,3735.9,3755.81,3763.0,3727.84,27194512300.0,396564099757.0
13,2021-01-21,3764.03,3795.86,3811.59,3758.64,32717467200.0,469182237951.0
14,2021-01-22,3790.9,3780.66,3790.9,3757.86,32412544600.0,484709873874.0
15,2021-01-25,3779.2,3799.07,3812.53,3764.18,32680578100.0,526532194257.0
16,2021-01-26,3785.14,3741.57,3785.14,3736.66,27776740200.0,435683933279.0
17,2021-01-27,3739.6,3745.64,3751.37,3717.48,26375906200.0,395598295998.0
18,2021-01-28,3705.05,3674.12,3720.66,3665.41,27052097000.0,390954052494.0
19,2021-01-29,3691.48,3650.95,3701.84,3612.63,29339041500.0,416037953060.0
20,2021-02-01,3644.82,3674.37,3675.53,3637.19,27715633000.0,370777594466.0
22,2021-02-02,3680.2,3704.2,3706.11,3664.19,26420022800.0,383580293786.0
23,2021-02-03,3701.55,3687.01,3715.03,3677.78,29696665000.0,413320535323.0
24,2021-02-04,3672.81,3670.82,3694.82,3633.0,29857266600.0,418315139174.0
25,2021-02-05,3678.83,3665.04,3707.23,3661.5,28985216700.0,396901806914.0
26,2021-02-08,3673.69,3702.89,3713.14,3660.62,24955538600.0,358831349075.0
27,2021-02-09,3710.58,3777.39,3777.94,3698.93,25349218500.0,371111470554.0
28,2021-02-10,3786.97,3831.54,3839.61,3786.85,25767688200.0,392236045656.0
29,2021-02-18,3900.81,3852.8,3911.92,3840.52,33999255000.0,483138732129.0
30,2021-02-19,3838.55,3874.58,3878.25,3809.42,36059659900.0,484380225787.0
31,2021-02-22,3886.15,3818.13,3896.65,3818.13,48799041800.0,598538953539.0
32,2021-02-23,3792.16,3811.79,3849.32,3792.16,39849687500.0,479224216698.0
33,2021-02-24,3814.49,3735.95,3821.5,3701.87,36172465200.0,483863338201.0
