,date,open,close,high,low,volume,money
0,2021-01-04,243.76,247.11,247.23,243.76,47118200.0,188454484.6
1,2021-01-05,247.46,247.17,247.57,246.33,44213600.0,170880638.7
2,2021-01-06,246.83,246.62,247.24,245.65,33041800.0,162878631.8
3,2021-01-07,246.65,246.28,247.17,244.76,30370500.0,153318198.3
4,2021-01-08,246.22,248.14,248.14,245.72,33598300.0,138074824.8
5,2021-01-11,248.14,247.15,248.21,245.65,26461800.0,115523192.3
6,2021-01-12,247.1,248.32,248.37,246.37,22767800.0,127682006.7
7,2021-01-13,248.38,249.58,250.07,248.29,30356600.0,155144897.3
8,2021-01-14,249.55,250.5,251.29,249.16,29050300.0,151815631.8
9,2021-01-15,250.31,250.66,251.05,249.3,19696300.0,94537287.9
10,2021-01-18,250.65,250.77,251.27,249.9,22649600.0,140760442.5
11,2021-01-19,250.78,250.05,251.14,249.61,21454700.0,103985138.1
12,2021-01-20,250.16,250.41,251.79,249.61,27566500.0,161114479.5
13,2021-01-21,250.55,251.2,251.62,250.3,23217500.0,136806492.9
14,2021-01-22,251.26,249.55,251.33,248.99,27402100.0,130847659.9
15,2021-01-25,249.72,247.53,250.0,247.29,48716800.0,223327000.8
16,2021-01-26,247.45,245.82,247.52,245.44,32429500.0,132455596.8
17,2021-01-27,245.49,247.54,247.57,245.37,29860700.0,142516618.8
18,2021-01-28,247.16,245.71,247.6,245.47,29345800.0,136036651.6
19,2021-01-29,245.76,244.06,246.81,243.21,23507600.0,119093092.0
20,2021-02-01,241.21,239.92,241.45,239.48,35608400.0,162505225.8
22,2021-02-02,238.48,239.26,239.89,238.03,30079400.0,142047734.3
23,2021-02-03,238.67,239.18,239.85,237.88,35685800.0,117033072.7
24,2021-02-04,238.89,237.7,239.0,235.05,22930600.0,99727116.5
25,2021-02-05,237.76,236.9,238.91,236.43,25180200.0,97902374.5
26,2021-02-08,236.56,239.73,239.78,236.56,21718200.0,110237859.3
27,2021-02-09,239.62,243.24,243.37,239.47,29561700.0,138356955.7
28,2021-02-10,243.26,243.93,243.95,243.11,23234700.0,105291142.2
29,2021-02-18,244.77,244.86,245.69,244.38,28981600.0,144721245.1
30,2021-02-19,244.79,247.77,247.77,243.45,42255100.0,232817482.6
31,2021-02-22,247.94,249.87,252.12,247.94,78986200.0,423791654.9
32,2021-02-23,249.8,247.99,250.29,247.58,34923600.0,186748283.2
33,2021-02-24,247.9,245.95,250.51,244.63,39251000.0,239742108.7
34,2021-02-25,246.76,245.93,248.97,245.27,46486200.0,255014304.4
35,2021-02-26,244.56,243.38,244.56,241.57,42527600.0,228559720.4
36,2021-03-01,243.68,246.13,246.41,243.68,30912900.0,159397269.4
37,2021-03-02,246.28,245.75,246.57,244.57,21616900.0,115778513.6
38,2021-03-03,244.76,249.16,249.16,244.76,30121100.0,146239401.6
39,2021-03-04,249.16,245.99,249.16,245.18,31480600.0,169718429.9
40,2021-03-05,245.42,244.93,245.67,243.61,22239400.0,124297442.9
41,2021-03-08,245.28,241.17,246.41,241.17,31653300.0,173203534.8
42,2021-03-09,240.52,240.56,242.49,237.41,28886400.0,142717846.9
